2024-12-13 09:14:22 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:14:22 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 17256 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:14:22 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:14:24 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:14:24 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:14:24 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2024-12-13 09:14:24 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 2.908 seconds (process running for 4.049)
2024-12-13 09:20:15 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:20:15 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 11908 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:20:15 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:20:17 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:20:17 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:20:17 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 3 ms
2024-12-13 09:20:17 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 1.911 seconds (process running for 2.504)
2024-12-13 09:20:22 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:20:22 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 10380 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:20:22 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:20:25 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:20:25 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:20:25 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2024-12-13 09:20:25 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 3.069 seconds (process running for 4.236)
2024-12-13 09:25:21 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:25:21 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 23648 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:25:21 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:25:23 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:25:23 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:25:23 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-12-13 09:25:24 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 2.886 seconds (process running for 4.089)
